TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
4/28/15 18:00	544	0					
4/28/15 21:00	545	0					
40661	546	0					
4/29/15 3:00	547	0					
4/29/15 6:00	548	0					
4/29/15 9:00	549	0					
4/29/15 12:00	550	0					
4/29/15 15:00	551	0					
4/29/15 18:00	552	0					
4/29/15 21:00	553	0					
40662	554	0					
4/30/15 3:00	555	0					
4/30/15 6:00	556	0					
4/30/15 9:00	557	0					
4/30/15 12:00	558	0					
4/30/15 15:00	559	0					
4/30/15 18:00	560	0					
4/30/15 21:00	561	0					
40663	562	0					
5/1/15 3:00	563	0					
5/1/15 6:00	564	0					
5/1/15 9:00	565	0					
5/1/15 12:00	566	0					
5/1/15 15:00	567	0					
5/1/15 18:00	568	0					
5/1/15 21:00	569	0					
40664	570	0					
5/2/15 3:00	571	0					
5/2/15 6:00	572	0					
5/2/15 9:00	573	0					
5/2/15 12:00	574	0					
5/2/15 15:00	575	0					
5/2/15 18:00	576	0					
5/2/15 21:00	577	0					
40665	578	0					
5/3/15 3:00	579	0					
5/3/15 6:00	580	0					
5/3/15 9:00	581	0					
5/3/15 12:00	582	0					
5/3/15 15:00	583	0					
5/3/15 18:00	584	0					
5/3/15 21:00	585	0					
40666	586	0					
5/4/15 3:00	587	0					
5/4/15 6:00	588	0					
5/4/15 9:00	589	0					
5/4/15 12:00	590	0					
5/4/15 15:00	591	0					
5/4/15 18:00	592	0					
5/4/15 21:00	593	0.15					
40667	594	0.075					
5/5/15 3:00	595	0.1					
5/5/15 6:00	596	0					
5/5/15 9:00	597	0					
5/5/15 12:00	598	0					
5/5/15 15:00	599	0					
5/5/15 18:00	600	0					
5/5/15 21:00	601	0					
40668	602	0					
5/6/15 3:00	603	0					
5/6/15 6:00	604	0					
5/6/15 9:00	605	0					
5/6/15 12:00	606	0					
5/6/15 15:00	607	0					
5/6/15 18:00	608	0					
5/6/15 21:00	609	0					
40669	610	0					
5/7/15 3:00	611	0					
5/7/15 6:00	612	0					
5/7/15 9:00	613	0					
5/7/15 12:00	614	0					
5/7/15 15:00	615	0					
5/7/15 18:00	616	0					
5/7/15 21:00	617	0					
40670	618	0					
5/8/15 3:00	619	0					
5/8/15 6:00	620	0					
5/8/15 9:00	621	0					
5/8/15 12:00	622	0					
5/8/15 15:00	623	0					
5/8/15 18:00	624	0					
5/8/15 21:00	625	0					
40671	626	0					
5/9/15 3:00	627	0					
5/9/15 6:00	628	0					
5/9/15 9:00	629	0					
5/9/15 12:00	630	0					
5/9/15 15:00	631	0					
5/9/15 18:00	632	0					
5/9/15 21:00	633	0					
40672	634	0					
5/10/15 3:00	635	0					
5/10/15 6:00	636	0					
5/10/15 9:00	637	0					
5/10/15 12:00	638	0					
5/10/15 15:00	639	0					
5/10/15 18:00	640	0					
5/10/15 21:00	641	0					
40673	642	0					
5/11/15 3:00	643	0					
5/11/15 6:00	644	0					
5/11/15 9:00	645	0					
5/11/15 12:00	646	0					
