"TOA5","Tower2","CR1000","67785","CR1000.Std.27.04","CPU:106330-4(No 212).CR1","60482","SixHr"
"TIMESTAMP","RECORD","MaxAT","MinAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Max","Min","Tot"
"2015-03-28 24:00:00",156,27.7,10.7,0
"2015-03-29 06:00:00",157,10.7,4.4,0
"2015-03-29 12:00:00",158,32.4,3.9,0
"2015-03-29 18:00:00",159,32.7,25.5,0
"2015-03-29 24:00:00",160,26.4,18.4,0
"2015-03-30 06:00:00",161,25.3,16,0
"2015-03-30 12:00:00",162,25.3,14.2,0
"2015-03-30 18:00:00",163,29,24.2,0
"2015-03-30 24:00:00",164,26.3,17.5,0
"2015-03-31 06:00:00",165,17.6,9.7,0
"2015-03-31 12:00:00",166,26,9.8,0
"2015-03-31 18:00:00",167,29.8,25.6,0
"2015-03-31 24:00:00",168,25.6,15.7,0
"2015-04-01 06:00:00",169,15.9,9.6,0
"2015-04-01 12:00:00",170,27.5,8.8,0
"2015-04-01 18:00:00",171,28.6,24.9,0
"2015-04-01 24:00:00",172,25,19.5,0
"2015-04-02 06:00:00",173,20.8,15.7,0
"2015-04-02 12:00:00",174,24.4,16.8,0
"2015-04-02 18:00:00",175,27.1,24.1,0
"2015-04-02 24:00:00",176,25.2,17.6,0
"2015-04-03 06:00:00",177,21.3,7.4,0
"2015-04-03 12:00:00",178,21.2,7.1,0
"2015-04-03 18:00:00",179,29.2,20.8,0
"2015-04-03 24:00:00",180,20.9,14.8,0
"2015-04-04 06:00:00",181,14.8,9.8,0
"2015-04-04 12:00:00",182,18.3,9.6,0
"2015-04-04 18:00:00",183,20.1,18.3,0
"2015-04-04 24:00:00",184,18.7,11.3,0
"2015-04-05 06:00:00",185,11.4,5.1,0
"2015-04-05 12:00:00",186,24.8,5.1,0
"2015-04-05 18:00:00",187,26.9,24.1,0
"2015-04-05 24:00:00",188,24.1,15.9,0
"2015-04-06 06:00:00",189,21.2,15,0
"2015-04-06 12:00:00",190,25.4,12.9,0
"2015-04-06 18:00:00",191,27.1,25,0
"2015-04-06 24:00:00",192,25.1,19.7,0
"2015-04-07 06:00:00",193,21.8,12,0
"2015-04-07 12:00:00",194,24.5,14.2,0
"2015-04-07 18:00:00",195,27.2,24.3,0
"2015-04-07 24:00:00",196,25.7,15.9,0
"2015-04-08 06:00:00",197,16.9,12.6,0
"2015-04-08 12:00:00",198,25.7,14.2,0
"2015-04-08 18:00:00",199,27.2,24.9,0
"2015-04-08 24:00:00",200,24.9,16.5,0
"2015-04-09 06:00:00",201,20.2,9.1,0
"2015-04-09 12:00:00",202,20.9,8.6,0
"2015-04-09 18:00:00",203,28.3,20.5,0
"2015-04-09 24:00:00",204,22.2,9.6,0
"2015-04-10 06:00:00",205,14,4.4,0
"2015-04-10 12:00:00",206,24.3,4.4,0
"2015-04-10 18:00:00",207,27.2,23.5,0
"2015-04-10 24:00:00",208,26.2,16.9,0
"2015-04-11 06:00:00",209,20.1,15.2,0
"2015-04-11 12:00:00",210,25,16.4,0
"2015-04-11 18:00:00",211,27.4,24.6,0
"2015-04-11 24:00:00",212,24.7,18,0
"2015-04-12 06:00:00",213,20.8,14.9,0
"2015-04-12 12:00:00",214,19.2,15.2,0.05
"2015-04-12 18:00:00",215,17.1,14,0.225
"2015-04-12 24:00:00",216,14.4,11.7,0.05
"2015-04-13 06:00:00",217,12.7,11.6,0.15
"2015-04-13 12:00:00",218,17.5,12,0
"2015-04-13 18:00:00",219,18.8,15.9,0.025
"2015-04-13 24:00:00",220,16.5,9.6,0
"2015-04-14 06:00:00",221,10.2,4,0
"2015-04-14 12:00:00",222,18.5,4.1,0
